trade_no,entry_time,exit_time,direction,entry_price,exit_price,quantity,pnl,exit_reason,indicators_agreed,consensus_signal,ADX_DI_signal,ADX_DI_buy_votes,ADX_DI_sell_votes,ADX_DI_total,Bollinger_Bands_signal,BB_buy_votes,BB_sell_votes,BB_total,Breadth_signal,Breadth_buy_votes,Breadth_sell_votes,Breadth_total,EMA_Cross_signal,EMA_buy_votes,EMA_sell_votes,EMA_total,RSI_signal,RSI_buy_votes,RSI_sell_votes,RSI_total,Supertrend_signal,ST_buy_votes,ST_sell_votes,ST_total,equity_after
11,2022-12-07 00:00:00+05:30,2022-12-16 00:00:00+05:30,LONG,62410.68,61337.81,9,-9655.83,signal_reversal,1,SELL,SELL,4,7,12,SELL,4,5,12,SELL,3,4,8,BUY,4,1,5,SELL,2,5,8,SELL,3,13,17,998567.21
12,2022-12-16 00:00:00+05:30,2023-01-27 00:00:00+05:30,SHORT,61337.81,59734.10,9,14433.42,take_profit,6,SELL,SELL,4,7,12,SELL,3,6,12,SELL,2,5,8,SELL,2,3,5,SELL,3,4,8,SELL,3,13,17,1013000.63
13,2023-01-27 00:00:00+05:30,2023-02-03 00:00:00+05:30,SHORT,59330.90,60604.36,7,-8914.19,stop_loss,6,SELL,SELL,4,8,12,SELL,2,8,12,SELL,2,5,8,SELL,2,3,5,SELL,3,4,8,SELL,3,13,17,1004086.43
14,2023-02-03 00:00:00+05:30,2023-03-14 00:00:00+05:30,SHORT,60841.88,58201.29,5,13202.92,take_profit,6,SELL,SELL,4,8,12,SELL,2,8,12,SELL,2,5,8,SELL,1,4,5,SELL,1,6,8,SELL,2,14,17,1017289.36
15,2023-03-14 00:00:00+05:30,2023-04-05 00:00:00+05:30,SHORT,57900.19,59477.77,6,-9465.47,stop_loss,6,SELL,SELL,3,9,12,SELL,1,9,12,SELL,3,4,8,SELL,1,4,5,SELL,3,4,8,SELL,3,13,17,1007823.89
16,2023-04-05 00:00:00+05:30,2023-04-28 00:00:00+05:30,SHORT,59689.31,60867.75,8,-9427.50,stop_loss,4,SELL,SELL,4,8,12,SELL,3,7,12,SELL,3,4,8,BUY,3,2,5,SELL,3,4,8,BUY,9,7,17,998396.39
17,2023-05-29 00:00:00+05:30,2023-06-30 00:00:00+05:30,LONG,62846.38,64430.45,9,14256.62,take_profit,4,BUY,HOLD,6,6,12,BUY,6,4,12,BUY,6,1,8,BUY,4,1,5,SELL,2,5,8,BUY,11,5,17,1012653.01
18,2023-06-30 00:00:00+05:30,2023-07-17 00:00:00+05:30,LONG,64718.56,66241.26,9,13704.34,take_profit,3,HOLD,HOLD,6,6,12,BUY,6,4,12,SELL,3,4,8,BUY,4,1,5,SELL,2,5,8,BUY,12,4,17,1026357.34
19,2023-07-20 00:00:00+05:30,2023-07-24 00:00:00+05:30,LONG,67571.90,66426.29,8,-9164.86,stop_loss,3,HOLD,HOLD,6,6,12,BUY,6,4,12,SELL,3,4,8,BUY,4,1,5,SELL,2,5,8,BUY,12,4,17,1017192.48
20,2023-07-28 00:00:00+05:30,2023-08-11 00:00:00+05:30,LONG,66160.20,65322.65,8,-6700.40,signal_reversal,1,SELL,SELL,4,8,12,HOLD,5,5,12,BUY,4,3,8,SELL,2,3,5,SELL,1,6,8,SELL,1,15,17,1010492.08
